Title;Latitude;Longitude
Niedzwiedz Wielkopolski (Niedźwiedź Wielkopolski);51.485834;17.883886
Nieszawa Waganiec (Nieszawa Waganiec);52.803059;18.870003
Niedzwiedz (Niedźwiedź);50.205833;20.081668
Nedza (Nędza);50.156671;18.291664
Niedoradz (Niedoradz);51.865556;15.664441
Nekla (Nekla);52.354444;17.399997
Barchow (Barchów);52.517778;21.648056
Basznia Dolna (Basznia Dolna);50.190003;23.207226
Pyzowka (Pyzówka);49.521385;19.959999
Boza Wola (Boża Wola);52.190004;20.52667
Pyskowice (Pyskowice);50.38444;18.618053
Gdansk-Brzezno;54.404619387775256;18.65459203720093
Przywory Opolskie (Przywory Opolskie);50.580279;17.989447
Babiak (Babiak);52.353608;18.670281
Babica (Babica);49.935276;21.901948
Przybylowice (Przybyłowice);51.12694;16.159441
Bukowno Przymiarki (Bukowno Przymiarki);50.275275;19.409724
Plytnica (Płytnica);53.295003;16.750275
Nowy Dwor Mazowiecki (Nowy Dwór Mazowiecki);52.425279;20.724999
Nowa Deba (Nowa Dęba);50.41556;21.739719
Narzym (Narzym);53.189443;20.254719
Naterki (Naterki);53.746109;20.376667
Azory (Azory);52.239723;19.304443
Arcelin (Arcelin);52.659726;20.318336
Augustowka (Augustówka);51.988052;21.513335
Przysieka Stara (Przysieka Stara);52.03583;16.604164
Augustow Port (Augustów Port);53.862222;23.004169
Piwniczna-Zdroj (Piwniczna-Zdrój);49.440833;20.717223
Pawlowek (Pawłówek);53.152218;17.855552
Antonin (Antonin);51.513889;17.860002
Powroznik (Powroźnik);49.369719;20.942781
Andrzejowka (Andrzejówka);49.341943;20.819997
Aleksandrow Kujawski (Aleksandrów Kujawski);52.875836;18.696385
Anieliny (Anieliny);53.12917;17.486671
Andrychow Gornica (Andrychów Górnica);49.858607;19.323886
Lodz Andrzejow (Łódź Andrzejów);51.741946;19.615002
Parlowko (Parłówko);53.845556;14.750004
Antoniowka (Antoniówka);51.424725;21.278887
Pruszkow (Pruszków);52.167225;20.796113
Trzciniec (Trzciniec);53.085276;17.94833
Tomaszow Mazowiecki (Tomaszów Mazowiecki);51.546943;20.033333
Pewel Wielka Centrum (Pewel Wielka Centrum);49.656943;19.345281
Podwierzbie (Podwierzbie);52.864725;19.579171
Tarnowiec Brzeski (Tarnowiec Brzeski);50.913329;17.652774
Mieszaki (Mieszaki);52.83667;19.745274
Glowno (Głowno);51.96139;19.702782
Zugienie (Żugienie);54.258889;20.089165
Puszczykowo (Puszczykowo);52.294998;16.870829
Legionowo Piaski (Legionowo Piaski);52.412496;20.942781
Wolka Kanska (Wólka Kańska);51.128333;23.066392
Hordziezka (Hordzieżka);51.754719;22.161107
Pruszcz Pomorski (Pruszcz Pomorski);53.334448;18.198886
Daniszyn (Daniszyn);51.667497;17.614444
Dabrowka Wielkopolska (Dąbrówka Wielkopolska);52.277496;15.800277
Darlowo (Darłowo);54.416947;16.404442
Bielsko Biala Glowna (Bielsko-Biała Główna);49.829724;19.045275
Wloclawek (Włocławek);52.653056;19.059163
Lodz Fabryczna (Łódź Fabryczna);51.769165;19.467777
Bedow (Będów);52.073333;15.311389
Sanok (Sanok);49.553054;22.210835
Paslek (Pasłęk);54.056947;19.65611
Stalowa Wola Rozwadow (Stalowa Wola-Rozwadów);50.591389;22.041946
Puszczykowko (Puszczykowko);52.272219;16.863611
Pruchna (Pruchna);49.878608;18.687774
Pulawy Miasto (Puławy Miasto);51.426667;21.985556
Pulawy (Puławy);51.410001;22.012497
Pulankowice (Pułankowice);50.958886;22.306112
Stalowa Wola (Stalowa Wola);50.562777;22.060553
Pulawy Chemia (Puławy Chemia);51.446668;21.968054
Pruszcz Gdanski (Pruszcz Gdański);54.258611;18.646945
Morag (Morąg);53.919169;19.922496
Damnica (Damnica);54.497778;17.270831
Dalecino (Dalęcino);53.747781;16.608614
Dabkowizna (Dąbkowizna);52.423885;21.085278
Drzymalowo (Drzymałowo);52.156942;16.29694
Elk (Ełk);53.825277;22.362222
Chojnice (Chojnice);53.687778;17.576114
Krotoszyn (Krotoszyn);51.702501;17.426947
Maldyty (Małdyty);53.921111;19.736114
Jaslo (Jasło);49.737504;21.470834
Chelm (Chełm);51.141107;23.493892
Braniewo (Braniewo);54.381107;19.841944
Puck (Puck);54.715829;18.408335
Smardzow Wroclawski (Smardzów Wrocławski);51.03;17.066111
